#Priority;Name;COSPAR;NORAD
1;GRACE-FO-1;1804701;43476
1;GRACE-FO-2;1804702;43477
2;ICESat-2;1807001;43613
3;CryoSat-2;1001301;36508
4;PAZ;1802001;43215
5;TanDEM-X;1003001;36605
6;TerraSAR-X;0702601;31698
7;SNET-4;1801409;43188
8;SNET-3;1801408;43187
9;SNET-2;1801407;43186
10;SNET-1;1801410;43189
11;TechnoSat;1704205;42829
12;STSAT-2C;1300301;39068
13;Sentinel-3B;1803901;43437
14;Sentinel-3A;1601101;41335
15;Swarm-A;1306702;39452
15;Swarm-C;1306703;39453
16;Swarm-B;1306701;39451
17;KOMPSAT-5;1304201;39227
18;SARAL;1300901;39086
19;HY-2B;1808101;43655
20;HY-2A;1104301;37781
22;Geo-IK-2;1603401;41579
23;Larets;0304206;27944
24;Starlette;7501001;07646
25;Stella;9306102;22824
26;LARES;1200601;38077
27;LAGEOS-2;9207002;22195
28;LAGEOS-1;7603901;08820
31;Ajisai;8606101;16908
33;Galileo-102;1106002;37847
34;BeiDou-3M2;1706902;43002
36;Galileo-202;1405002;40129
37;BeiDou-3M3;1801802;43208
39;Galileo-209;1507901;41174
40;BeiDou-3M9;1802901;43245
42;Galileo-210;1603002;41550
43;BeiDou-3M10;1802902;43246
44;IRNSS-1B;1401701;39635
45;QZS-3;1704801;42917
46;QZS-2;1702801;42738
47;QZS-4;1706201;42965
48;IRNSS-1I;1803501;43286
49;IRNSS-1F;1601501;41384
50;IRNSS-1E;1600301;41241
51;IRNSS-1D;1501801;40547
52;IRNSS-1C;1406101;40269
53;QZS-1;1004501;37158
54;Beacon-C;6503201;01328
